File_ID,Total_Micro,Total_Standard,Total_Long,Total_All,Max_Duration,Min_Duration,Mean_Duration,Peak_Velocity,Mean_Peak_Velocity,Mean_Velocity,Total_Path_Length
baseline-04,0,18,5,23,187,30,53.47826087,0.041828566,0.002612837,0.00200094,22.44166045
baseline-05,,,,,,,,,,,
baseline-06,0,21,4,25,188,30,50.04,0.019198669,0.003494811,0.00215132,27.06368983
baseline-07,0,0,1,1,189,189,189,0.003142141,0.001344019,0.00120929,1.793866258
baseline-08,0,3,1,4,125,31,66.75,0.021017199,0.002318048,0.001836769,2.874677351
baseline-09,0,1,0,1,32,32,32,0.021887541,0.003933952,0.002674365,1.050922451
baseline-10,0,8,2,10,155,30,57.3,0.017927616,0.004523367,0.002725978,15.30172598
baseline-11,0,33,16,49,190,28,84.81632653,0.051051432,0.003757257,0.002207277,53.3722163
baseline-12,0,1,0,1,63,63,63,0.006129117,0.001617487,0.001544632,1.480931733
baseline-13,0,4,0,4,33,31,32.25,0.008495883,0.00273561,0.002423081,2.873067474
baseline-14,0,5,6,11,187,30,109.1818182,0.085629911,0.002933369,0.002014127,18.58980817
baseline-15,0,7,1,8,187,30,57,0.039091943,0.012502718,0.006446576,10.17153719
baseline-16,0,2,2,4,110,31,70.5,0.019402629,0.002250543,0.001787073,2.427748094
baseline-17,0,1,1,2,125,47,86,0.005865321,0.002208428,0.001966597,1.336743366
baseline-18,0,1,0,1,31,31,31,0.013612941,0.0033176,0.002754445,1.276051798
baseline-19,0,0,0,0,,,,0.003574246,0.001512841,0.001512841,0.347177575
baseline-20,0,11,1,12,110,30,41.83333333,0.019165449,0.002613077,0.001834674,14.96100378
baseline-21,0,3,0,3,33,30,31.33333333,0.009876711,0.002130561,0.00189046,2.788762015
baseline-22,0,0,0,0,,,,0.003094381,0.00222898,0.00222898,0.286952842
baseline-23,0,1,0,1,33,33,33,0.016739812,0.002954265,0.001962674,0.762603362
baseline-24,1,22,10,33,188,17,66.24242424,0.046201326,0.00411075,0.002616253,48.013078
baseline-25,0,23,11,34,188,30,79.44117647,0.056734485,0.007225707,0.004150817,74.82499062
baseline-26,0,3,0,3,63,30,46.33333333,0.0110543,0.002175387,0.001774307,2.772556681
baseline-27,1,11,13,25,171,16,84.16,0.023145605,0.003172585,0.00199392,24.43225991
baseline-28,0,20,1,21,95,29,44.80952381,0.006613271,0.002684154,0.001851582,5.997405018
baseline-29,0,4,1,5,80,31,60.2,0.019586623,0.003044929,0.002230788,5.076648771
baseline-30,0,1,1,2,93,46,69.5,0.011999074,0.001948696,0.001556654,1.424956561
baseline-31,0,3,0,3,62,31,51.33333333,0.016647693,0.002164656,0.00166803,6.68860975