File_ID,Mean_fixation_duration,Median_fixation_duration,Standard_Deviation_fixation_duration,Minimum_fixation_duration,Maximum_fixation_duration,Mean_fixation_velocity,Median_fixation_velocity,Standard_Deviation_fixation_velocity,Minimum_fixation_velocity,Maximum_fixation_velocity,Total_path_length
openface-04,294.5289855,233,207.4124118,108,1531,0.016673085,0.015077001,0.00685974,0.00841216,0.068012631,12817.99524
openface-05,,,,,,,,,,,
openface-06,493.6988848,344,404.7790283,108,2813,0.013413837,0.012718156,0.002663018,0.007261519,0.025420987,2878.203554
openface-07,408.5032468,273.5,389.7779129,108,3014,0.015003589,0.013567224,0.005672002,0.00811906,0.079928062,3347.2454
openface-08,310.6030303,234.5,212.5948843,108,1234,0.015495191,0.014844097,0.00378644,0.009072592,0.039143293,4428.721543
openface-09,494.7196532,343.5,401.676558,109,2375,0.013225189,0.012424526,0.003668688,0.007534276,0.047225443,3010.427609
openface-10,402.3766578,251,686.0390028,104,8484,0.014935707,0.014415916,0.00344985,6.95E-05,0.031116129,3957.23311
openface-11,491.6277174,281,1046.125909,107,13874,0.014949463,0.014152061,0.005402316,0,0.051957072,6266.498475
openface-12,200.8450185,155,350.2757874,105,5765,0.018408736,0.017500541,0.004598954,0.00010431,0.043211601,7610.297527
openface-13,252.6567797,203,156.8796121,104,1266,0.016551576,0.015922942,0.004058024,0.010108609,0.036671113,5831.15599
openface-14,607.8513514,361.5,1059.595355,108,14266,0.014354549,0.01224624,0.013679174,0,0.228505791,3961.626763
openface-15,736.5943775,423,834.9580324,109,5328,0.011804761,0.011118667,0.003615499,0.006363265,0.032151913,2446.309823
openface-16,303.4519906,234,208.6838076,108,1564,0.016115472,0.015183873,0.004426467,0.008134776,0.043700204,4413.333042
openface-17,472.4072289,328,445.695796,101,3249,0.013902996,0.012537467,0.004887886,0.00698066,0.04306143,4005.353356
openface-18,317.1963928,251,214.8129389,108,1970,0.015917853,0.014777992,0.00538719,0.007816589,0.047893303,4200.41196
openface-19,393.8595041,282,338.5138169,108,4142,0.014450239,0.01378703,0.00324463,0.007562635,0.025561837,4052.622129
openface-20,354.7665706,280,260.9578902,108,1954,0.015258428,0.013682322,0.005726295,0.007487701,0.048392178,4302.500877
openface-21,255.4019934,204,144.4463178,108,875,0.016578231,0.015743556,0.004365278,0.00919326,0.046915936,5155.575699
openface-22,539.4122563,313,611.6557942,107,6220,0.013690937,0.012644785,0.00436357,0.006989826,0.049803754,4498.489868
openface-23,321.6764706,257.5,228.1047926,108,1813,0.015460875,0.014898387,0.003785712,0.008990079,0.032862148,4417.374625
openface-24,246.2695418,202,220.0550963,108,2750,0.018656474,0.01612556,0.020338243,0.000327904,0.393434415,6254.998619
openface-25,358.7590221,250,362.7904771,107,6314,0.015912605,0.014574976,0.006956139,0.000447115,0.147058425,9052.531828
openface-26,216.9565217,172,117.0114917,108,953,0.018670787,0.016960304,0.006285863,0.010061747,0.042756031,8337.257421
openface-27,236.9386973,202,129.3853287,107,798,0.017768721,0.016415901,0.014164013,0.009426733,0.236133735,4424.99568
openface-28,,,,,,,,,,,
openface-29,494.3341902,343,462.4013285,108,3813,0.014739676,0.013392017,0.005483983,0.007416072,0.056651728,4412.621172
openface-30,451.3150685,336,385.22561,108,2328,0.015077302,0.013661164,0.006151584,0.007309247,0.050040206,3814.61781
openface-31,320.6228814,257.5,224.9425203,108,1704,0.015476712,0.014651417,0.004460545,0.007475697,0.05260873,4816.610363